s,p,random_label
http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/2000/01/rdf-schema#label,0.794154723900219
http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2000/01/rdf-schema#label,0.061784744556282245
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.5624839603176012
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.06802937003399567
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.057963394417723024
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.489716689473668
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.627798197397097
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.898747015998149
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.2611881050009711
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.31564632458711406
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.005003248407907224
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2000/01/rdf-schema#label,0.9247058964232079
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,0.44630158358546634
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,0.7738342073870518
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,0.3002774666685275
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,0.5619598507788273
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,0.6375617237154652
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,0.41628284134566573
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,0.9509904019026558
http://dbpedia.org/ontology/SportsLeague,http://www.w3.org/2000/01/rdf-schema#label,0.8661077846550376
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,0.6328341410298304
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,0.36467929877852423
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,0.3150499781020265
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,0.1616726499679103
http://dbpedia.org/ontology/NaturalEvent,http://www.w3.org/2000/01/rdf-schema#label,0.2931099419505824
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.19397129649065958
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.2989893883371383
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.7154261950838839
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.7949896814569151
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.7923443597937738
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.15950779508028168
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.29472399482140244
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.258088127764211
http://dbpedia.org/ontology/Event,http://www.w3.org/2000/01/rdf-schema#label,0.10061678330832702
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,0.0936235289544548
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,0.8725448324983057
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,0.7587036364721815
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,0.2840751778003473
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,0.009483228776092978
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,0.14626792525743404
http://dbpedia.org/ontology/Province,http://www.w3.org/2000/01/rdf-schema#label,0.5953406197894384
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://www.w3.org/2000/01/rdf-schema#label,0.7276316807854393
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://www.w3.org/2000/01/rdf-schema#label,0.7208635165463002
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://www.w3.org/2000/01/rdf-schema#label,0.8006313874723865
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://www.w3.org/2000/01/rdf-schema#label,0.8412531519078217
